Web,항목,기능,,출력,,,,,,,,항목,기능,,출력
,mainpage,자리 찾기,,자리찾기 page로 이동,,,,,,,,분석 데이터 정보,점포수,,점포수 데이터를 보여주는가
,,"지역, 상권 분석",,"지역, 상권 분석 page로 이동",,,,,,,,,신생기업생존률,,신생기업 생존률 데이터를 잘 보여주는가
,,이용안내,,이용안내 page로 이동 ,,,,,,,,,평균영업기간,,평균영업기간 데이터를 보여주는가
,,,,,,,,,,,,,업종별 발달,,업종별 발달 데이터를 보여주는가
,자리 찾기 ,건물위치,,사용자가 찾고자 하는 위치의 건물을 조회할 수 있는가,,,,,,,,,가구수,,가구수 데이터를 보여주는가
,,분석 영역,,사용자가 설정한 건물의 주변 반경 범위를 설정할 수 있는가,,,,,,,,,유동인구,,유동인구 데이터를 보여주는가
,,주소 구 단위,,서울 25개 구를 선택할 수 있고 그에 맞는 건물 리스트 정보를 보여주는가,,,,,,,,,기준분기,,기준이 되는 년도와 분기를 설정할 수 있는가
,,전체,,주소와 장소 정보를 모두 보여주는가,,,,,,,,,생활밀집업종,,업종을 선택하고 그 업종에 맞는 데이터만 보여주는가
,,주소,,주소 정보를 보여주는 가,,,,,,,,,주소 구 설정,,기준이 되는 구를 설정하고 그에 맞는 데이터만 보여주는가
,,장소,,장소 정보를 보여주는가 ex) 강서구청,,,,,,,,,,,
,,적용 ,,입력한 주소와 건물 정보를 저장하고 다음 단계로 넘어가는가,,,,,,,,,,,
,,적용,,설정한 분석 영역을 저장하는가,,,,,,,,,,,
,,분석하기,,가장 적합하다고 생각하는 업종 5개를 보여주는가,,,,,,,,,,,
